Comment	Designator	Footprint	LCSC Part #
100n	C1	0805_C	C49678
22u 16V	C2	SMD,D4	C98746
100n	C3	0805_C	C49678
100n	C4	0805_C	C49678
100u 16V	C5	SMD,D6.3	C37308
1N4148WS	D1	SOD-323	C2128
M7 (1A)	D2	DO-214AA	C95872
M7 (1A)	D3	DO-214AA	C95872
RED LED	LED1	0805	C84256
470R	R1	0805_R	C17710
100R	R2	0805_R	C17408
100R	R3	0805_R	C17408
100R	R4	0805_R	C17408
100R	R5	0805_R	C17408
220R	R6	0603_x4	C29719
220R	R7	0603_x4	C29719
220R	R8	0603_x4	C29719
220R	R9	0603_x4	C29719
220R	R10	0603_x4	C29719
220R	R11	0603_x4	C29719
220R	R12	0603_x4	C29719
220R	R13	0603_x4	C29719
220R	R14	0603_x4	C29719
220R	R15	0603_x4	C29719
AMS1117-5.0	U3	SOT223	C6187
