Designator	Mid X	Mid Y	Layer	Rotation
C1	7.4	25.51	Top	90
C2	46.14	7.1	Top	270
C3	40.42	30.59	Top	0
C4	47.41	30.59	Top	180
C5	65.51	34.72	Top	0
D1	40.6	28.05	Top	180
D2	54.08	36.94	Top	0
D3	8.36	44.56	Top	0
LED1	19.35	5.19	Top	0
R1	24.23	5.19	Top	0
R2	63.6	11.54	Top	90
R3	65.51	11.54	Top	90
R4	67.41	11.54	Top	90
R5	69.32	11.54	Top	90
R6	20.1	52.17	Top	90
R7	25.18	52.17	Top	90
R8	30.26	52.17	Top	90
R9	35.34	52.17	Top	90
R10	40.42	52.17	Top	90
R11	45.5	52.17	Top	90
R12	50.58	52.17	Top	90
R13	55.66	52.17	Top	90
R14	60.74	52.17	Top	90
R15	65.82	52.17	Top	90
U3	46.14	24.56	Top	90
