Name;Value;Package;Place X;Place Y;Rotation
C1;100n;SM0805C;7.30;25.40;90.00
C2;22µ 10V;PANA_B;46.04;6.99;270.00
C3;100n;SM0805C;40.32;30.48;0.00
C4;100n;SM0805C;47.31;30.48;180.00
C5;100µ 25V;PANA_D;65.41;34.61;180.00
D1;1N4148WS;SOD-323;40.50;27.94;180.00
D2;M7 (1A);MLL41;53.98;36.83;270.00
D3;M7 (1A);MLL41;8.26;44.45;270.00
LED1;;SMD0805;19.25;5.08;0.00
R1;470R;SM0805;24.13;5.08;0.00
R2;100R;SM0805;63.50;11.43;90.00
R3;100R;SM0805;65.41;11.43;90.00
R4;100R;SM0805;67.31;11.43;90.00
R5;100R;SM0805;69.22;11.43;90.00
R6;220R;RN1206;20.00;52.06;0.00
R7;220R;RN1206;25.08;52.06;0.00
R8;220R;RN1206;30.16;52.06;0.00
R9;220R;RN1206;35.24;52.06;0.00
R10;220R;RN1206;40.32;52.06;0.00
R11;220R;RN1206;45.40;52.06;0.00
R12;220R;RN1206;50.48;52.06;0.00
R13;220R;RN1206;55.56;52.06;0.00
R14;220R;RN1206;60.64;52.06;0.00
R15;220R;RN1206;65.72;52.06;0.00
U3;AMS1117-5.0;SOT223;46.04;24.45;90.00
